Longitud,Latitud,Valor
-73.61400,4.16800,12.00000
-51.80000,3.88300,9.10000
-54.03300,3.63300,6.80000
-76.38300,3.55000,2.60000
-75.29400,2.95000,3.80000
-61.13300,1.83300,4.90000
-77.26700,1.41700,3.50000
-77.67200,0.86200,2.70000
-51.07200,0.05100,8.10000
-47.38300,-0.61700,8.20000
-79.46700,-1.10000,6.20000
-48.47600,-1.37900,8.10000
-54.71700,-2.43300,6.20000
-52.20000,-3.20000,7.20000
-80.38100,-3.55300,1.90000
-73.30000,-3.78300,9.00000
-32.41700,-3.85000,4.40000
-69.94300,-4.19300,8.60000
-81.25400,-4.57700,0.60000
-42.81700,-5.05000,4.20000
-80.61600,-5.20600,1.00000
-49.13800,-5.36900,7.70000
-76.11800,-5.89400,7.00000
-77.85000,-6.20000,2.00000
-76.36700,-6.50000,4.00000
-79.82800,-6.78700,0.30000
-34.86700,-7.10000,5.20000
-78.48900,-7.13900,3.70000
-76.72900,-7.16900,5.90000
-35.88300,-7.21700,2.40000
-38.13300,-7.85000,3.50000
-79.10900,-8.08100,0.10000
-49.28000,-8.25000,7.70000
-74.57400,-8.37800,4.70000
-36.51700,-8.88300,2.20000
-75.95000,-9.13300,10.20000
-78.52400,-9.15000,0.10000
-77.59800,-9.34700,2.50000
-38.21700,-9.40000,1.70000
-35.78300,-9.51700,4.50000
-56.10000,-9.86700,7.30000
-76.20500,-9.87900,1.60000
-65.34900,-10.81700,5.40000
-66.11700,-11.00000,8.10000
-68.78000,-11.03000,7.30000
-77.11400,-12.02200,0.20000
-69.22900,-12.61400,7.60000
-60.09800,-12.69400,8.10000
-64.66700,-13.06700,10.00000
-74.20400,-13.15500,3.30000
-43.41700,-13.26700,2.60000
-64.11700,-13.33300,7.70000
-71.93900,-13.53600,2.40000
-76.22000,-13.74500,0.10000
-65.43500,-13.76200,10.90000
-67.36700,-14.30000,7.50000
-67.57000,-14.47000,9.20000
-64.91800,-14.81900,7.00000
-66.75000,-14.86700,8.90000
-65.63300,-14.96700,12.30000
-42.75000,-15.08300,2.30000
-70.15800,-15.46700,2.60000
-57.68300,-16.05000,3.60000
-62.10000,-16.25000,6.90000
-71.56700,-16.33200,0.50000
-60.95000,-16.36700,5.90000
-68.19200,-16.51300,2.30000
-43.86700,-16.71700,3.40000
-46.86700,-17.21700,3.80000
-66.18000,-17.42000,1.40000
-63.13500,-17.64500,4.40000
-39.25000,-17.73300,4.90000
-63.17100,-17.81200,5.40000
-67.07600,-17.96300,2.80000
-70.27600,-18.05300,0.10000
-59.75000,-18.31700,5.70000
-46.51700,-18.60000,4.80000
-65.28900,-19.00700,3.20000
-57.50000,-19.08300,3.60000
-59.36700,-19.53300,4.10000
-46.93300,-19.56700,4.60000
-45.98300,-20.00000,4.10000
-63.56700,-20.05000,3.90000
-58.16700,-20.23000,3.30000
-49.98300,-20.41700,3.70000
-48.96700,-21.13300,3.20000
-41.88300,-21.20000,3.10000
